City ID,City Name,Cloudiness,Country,Date of Request,Humidity,Latitude,Longitude,Temperature,Wind Speed
367,Marawi,100,PH,1659650975,91,7.9986,124.2928,69.4,3.09
368,São José da Coroa Grande,4,BR,1659650976,81,-8.8978,-35.1478,74.75,10.47
369,Nouakchott,100,MR,1659650976,81,18.0858,-15.9785,80.53,12.3
370,İnegöl,0,TR,1659650976,93,40.0781,29.5133,70.88,0.72
371,Eenhana,0,NA,1659650977,27,-17.4667,16.3333,62.92,6.13
372,Yadgir,100,IN,1659650888,90,16.7667,77.1333,75.94,7.16
373,Mount Isa,75,AU,1659650977,68,-20.7333,139.5,69.57,4.61
374,Aktash,100,RU,1659650978,95,50.3,87.7333,43.02,2.64
375,Făurei,47,RO,1659650978,61,45.0833,27.2667,70.83,6.82
376,Olafsvik,5,IS,1659650978,71,64.8945,-23.7142,49.78,7.18
377,Al Bardīyah,0,LY,1659650979,74,31.7561,25.0865,77.7,8.39
